Approach,Case,Ground_Truth,Pitch_Score,Rhythm_Score,Pitch_Squared_Error,Rhythm_Squared_Error
MelDet,Case_005,0,0.102,0.2076,0.0104,0.0431
MelDet,Case_006,1,0.46799999999999997,0.7173,0.283,0.0799
MelDet,Case_011,1,0.36810000000000004,0.39049999999999996,0.3993,0.3715
MelDet,Case_016,0,0.13140000000000002,0.20829999999999999,0.0173,0.0434
MelDet,Case_024,1,0.29969999999999997,0.0495,0.4904,0.9035
MelDet,Case_036,0,0.09910000000000001,0.14400000000000002,0.0098,0.0207
MelDet,Case_039,1,0.3418,0.8564,0.4332,0.0206
MelDet,Case_043,1,0.541,0.4756,0.2107,0.275
MelDet,Case_047,0,0.1765,0.35509999999999997,0.0312,0.1261
MelDet,Case_056,0,0.1311,0.21530000000000002,0.0172,0.0464
MelDet,Case_059,1,0.31579999999999997,0.4014,0.4681,0.3583
MelDet,Case_060,1,0.3243,0.1765,0.4566,0.6782
MelDet,Case_063,0,0.18239999999999998,0.2152,0.0333,0.0463
MelDet,Case_064,0,0.1746,0.2662,0.0305,0.0709
MelDet,Case_068,1,0.5869,0.5326,0.1707,0.2185
MelDet,Case_078,1,0.5697,0.5174,0.1852,0.2329
MelDet,Case_088,0,0.1175,0.1336,0.0138,0.0178
MelDet,Case_090,0,0.1764,0.18969999999999998,0.0311,0.036
MelDet,Case_107,1,1.0,1.0,0.0,0.0
MelDet,Case_116,0,0.17079999999999998,0.0662,0.0292,0.0044
Hungarian,Case_005,0,0.3935,0.48729999999999996,0.1548,0.2375
Hungarian,Case_006,1,0.5155,0.7965000000000001,0.2347,0.0414
Hungarian,Case_011,1,0.8320000000000001,0.5454,0.0282,0.2067
Hungarian,Case_016,0,0.43090000000000006,0.6022,0.1857,0.3626
Hungarian,Case_024,1,0.5417000000000001,0.4765,0.21,0.2741
Hungarian,Case_036,0,0.4379,0.5114,0.1918,0.2615
Hungarian,Case_039,1,0.3418,0.8564,0.4332,0.0206
Hungarian,Case_043,1,0.9401999999999999,0.9140999999999999,0.0036,0.0074
Hungarian,Case_047,0,0.3789,0.5943,0.1436,0.3532
Hungarian,Case_056,0,0.2967,0.6013000000000001,0.088,0.3616
Hungarian,Case_059,1,0.5982999999999999,0.614,0.1614,0.149
Hungarian,Case_060,1,0.5129,0.45909999999999995,0.2373,0.2926
Hungarian,Case_063,0,0.4081,0.5274,0.1665,0.2782
Hungarian,Case_064,0,0.49450000000000005,0.7506999999999999,0.2445,0.5636
Hungarian,Case_068,1,0.8205,0.7203,0.0322,0.0782
Hungarian,Case_078,1,0.9142,0.9761,0.0074,0.0006
Hungarian,Case_088,0,0.3754,0.5115999999999999,0.1409,0.2617
Hungarian,Case_090,0,0.3705,0.561,0.1373,0.3147
Hungarian,Case_107,1,1.0,1.0,0.0,0.0
Hungarian,Case_116,0,0.3737,0.47619999999999996,0.1397,0.2268
SumCommon,Case_005,0,0.0,0.0435,0.0,0.0019
SumCommon,Case_006,1,0.1333,0.3043,0.7512,0.484
SumCommon,Case_011,1,0.3333,0.07689999999999998,0.4445,0.8521
SumCommon,Case_016,0,0.042300000000000004,0.19269999999999998,0.0018,0.0371
SumCommon,Case_024,1,0.1061,0.0635,0.7991,0.877
SumCommon,Case_036,0,0.0333,0.08,0.0011,0.0064
SumCommon,Case_039,1,0.0,0.4,1.0,0.36
SumCommon,Case_043,1,0.46509999999999996,0.3333,0.2861,0.4445
SumCommon,Case_047,0,0.0385,0.19440000000000002,0.0015,0.0378
SumCommon,Case_056,0,0.0,0.0882,0.0,0.0078
SumCommon,Case_059,1,0.1509,0.2857,0.721,0.5102
SumCommon,Case_060,1,0.0968,0.0385,0.8158,0.9245
SumCommon,Case_063,0,0.0,0.056600000000000004,0.0,0.0032
SumCommon,Case_064,0,0.0513,0.3385,0.0026,0.1146
SumCommon,Case_068,1,0.48210000000000003,0.2642,0.2682,0.5414
SumCommon,Case_078,1,0.6,0.6667000000000001,0.16,0.1111
SumCommon,Case_088,0,0.0123,0.10289999999999999,0.0002,0.0106
SumCommon,Case_090,0,0.0165,0.1467,0.0003,0.0215
SumCommon,Case_107,1,1.0,1.0,0.0,0.0
SumCommon,Case_116,0,0.0,0.0548,0.0,0.003
Tversky,Case_005,0,0.0,0.0833,0.0,0.0069
Tversky,Case_006,1,0.23399999999999999,0.4637,0.5868,0.2876
Tversky,Case_011,1,0.4917,0.13720000000000002,0.2584,0.7444
Tversky,Case_016,0,0.0802,0.316,0.0064,0.0999
Tversky,Case_024,1,0.1918,0.1195,0.6532,0.7753
Tversky,Case_036,0,0.0646,0.1478,0.0042,0.0218
Tversky,Case_039,1,0.0,0.56,1.0,0.1936
Tversky,Case_043,1,0.59,0.4483,0.1681,0.3044
Tversky,Case_047,0,0.0739,0.3273,0.0055,0.1071
Tversky,Case_056,0,0.0,0.1574,0.0,0.0248
Tversky,Case_059,1,0.2629,0.4444000000000001,0.5433,0.3087
Tversky,Case_060,1,0.16879999999999998,0.07979999999999998,0.6909,0.8468
Tversky,Case_063,0,0.0,0.0781,0.0,0.0061
Tversky,Case_064,0,0.09210000000000002,0.48590000000000005,0.0085,0.2361
Tversky,Case_068,1,0.6475,0.4171,0.1243,0.3398
Tversky,Case_078,1,0.7426,0.7905,0.0663,0.0439
Tversky,Case_088,0,0.024399999999999998,0.1866,0.0006,0.0348
Tversky,Case_090,0,0.031400000000000004,0.25989999999999996,0.001,0.0675
Tversky,Case_107,1,1.0,1.0,0.0,0.0
Tversky,Case_116,0,0.0,0.1017,0.0,0.0103
